Task4 后台服务启动...
启动时间: 2025-08-28 14:35:27.597681
[2025-08-28 14:35:27.597691] Task4 正在运行...
[2025-08-28 14:35:57.597775] Task4 正在运行...
[2025-08-28 14:36:27.597895] Task4 正在运行...
[2025-08-28 14:36:57.598057] Task4 正在运行...
[2025-08-28 14:37:27.598199] Task4 正在运行...
[2025-08-28 14:37:57.598278] Task4 正在运行...
[2025-08-28 14:38:27.598409] Task4 正在运行...
[2025-08-28 14:38:57.598522] Task4 正在运行...
[2025-08-28 14:39:27.598638] Task4 正在运行...
[2025-08-28 14:39:57.598745] Task4 正在运行...
[2025-08-28 14:40:27.598857] Task4 正在运行...
[2025-08-28 14:40:57.598994] Task4 正在运行...
[2025-08-28 14:41:27.599119] Task4 正在运行...
[2025-08-28 14:41:57.599224] Task4 正在运行...
[2025-08-28 14:42:27.599326] Task4 正在运行...
[2025-08-28 14:42:57.599448] Task4 正在运行...
[2025-08-28 14:43:27.599593] Task4 正在运行...
[2025-08-28 14:43:57.599703] Task4 正在运行...
[2025-08-28 14:44:27.599810] Task4 正在运行...
[2025-08-28 14:44:57.599940] Task4 正在运行...
[2025-08-28 14:45:27.600075] Task4 正在运行...
[2025-08-28 14:45:57.600196] Task4 正在运行...
[2025-08-28 14:46:27.600338] Task4 正在运行...
[2025-08-28 14:46:57.600471] Task4 正在运行...
[2025-08-28 14:47:27.600595] Task4 正在运行...
[2025-08-28 14:47:57.600704] Task4 正在运行...
[2025-08-28 14:48:27.600812] Task4 正在运行...
[2025-08-28 14:48:57.600916] Task4 正在运行...
[2025-08-28 14:49:27.601055] Task4 正在运行...
[2025-08-28 14:49:57.601179] Task4 正在运行...
[2025-08-28 14:50:27.601307] Task4 正在运行...
[2025-08-28 14:50:57.601432] Task4 正在运行...
[2025-08-28 14:51:27.601552] Task4 正在运行...
[2025-08-28 14:51:57.601705] Task4 正在运行...
[2025-08-28 14:52:27.601886] Task4 正在运行...
[2025-08-28 14:52:57.602028] Task4 正在运行...
[2025-08-28 14:53:27.602228] Task4 正在运行...
[2025-08-28 14:53:57.602354] Task4 正在运行...
[2025-08-28 14:54:27.602467] Task4 正在运行...
[2025-08-28 14:54:57.602575] Task4 正在运行...
[2025-08-28 14:55:27.602687] Task4 正在运行...
[2025-08-28 14:55:57.602800] Task4 正在运行...
[2025-08-28 14:56:27.602909] Task4 正在运行...
[2025-08-28 14:56:57.603014] Task4 正在运行...
[2025-08-28 14:57:27.603121] Task4 正在运行...
[2025-08-28 14:57:57.603234] Task4 正在运行...
[2025-08-28 14:58:27.603352] Task4 正在运行...
[2025-08-28 14:58:57.603460] Task4 正在运行...
[2025-08-28 14:59:27.603571] Task4 正在运行...
[2025-08-28 14:59:57.603685] Task4 正在运行...
[2025-08-28 15:00:27.603792] Task4 正在运行...
[2025-08-28 15:00:57.603908] Task4 正在运行...
[2025-08-28 15:01:27.604013] Task4 正在运行...
[2025-08-28 15:01:57.604136] Task4 正在运行...
[2025-08-28 15:02:27.604314] Task4 正在运行...
[2025-08-28 15:02:57.604441] Task4 正在运行...
[2025-08-28 15:03:27.604570] Task4 正在运行...
[2025-08-28 15:03:57.604683] Task4 正在运行...
[2025-08-28 15:04:27.604817] Task4 正在运行...
[2025-08-28 15:04:57.605004] Task4 正在运行...
[2025-08-28 15:05:27.605198] Task4 正在运行...
[2025-08-28 15:05:57.605359] Task4 正在运行...
[2025-08-28 15:06:27.605538] Task4 正在运行...
[2025-08-28 15:06:57.605649] Task4 正在运行...
[2025-08-28 15:07:27.605754] Task4 正在运行...
[2025-08-28 15:07:57.605865] Task4 正在运行...
[2025-08-28 15:08:27.605975] Task4 正在运行...
[2025-08-28 15:08:57.606109] Task4 正在运行...
[2025-08-28 15:09:27.606281] Task4 正在运行...
[2025-08-28 15:09:57.606405] Task4 正在运行...
[2025-08-28 15:10:27.606524] Task4 正在运行...
[2025-08-28 15:10:57.606655] Task4 正在运行...
[2025-08-28 15:11:27.606829] Task4 正在运行...
[2025-08-28 15:11:57.606949] Task4 正在运行...
[2025-08-28 15:12:27.607069] Task4 正在运行...
[2025-08-28 15:12:57.607174] Task4 正在运行...
[2025-08-28 15:13:27.607301] Task4 正在运行...
[2025-08-28 15:13:57.607413] Task4 正在运行...
[2025-08-28 15:14:27.607525] Task4 正在运行...
[2025-08-28 15:14:57.607642] Task4 正在运行...
[2025-08-28 15:15:27.607751] Task4 正在运行...
[2025-08-28 15:15:57.607908] Task4 正在运行...
